Origen,Provincia,Estadillo,Cla,Subclase,CoorX,Coory,Tipo,Vuelo1,Pasada1,Foto1,Vuelo2,Pasada2,Foto2,Ano,INE,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Rocosid,Textura,MatOrg,PhSuelo,FechaPh,HoraPh,TipSuelo1,TipSuelo2,TipSuelo3,MErosiva,ModComb,EspCMue,PresReg,EfecReg,CortaReg,MejVue1,MejVue2,MejSue1,MejSue2,Orienta1,Orienta2,MaxPend1,MaxPend2,Localiza,Acceso,Levanta,Obser,Equipo,JefeEq,FechaIni,HoraIni,FechaFin,HoraFin,Tiempo,Resid,RumboF1,RumboF2,DistFoto,CarFoto1,NumFoto1,ConFoto1,CarFoto2,NumFoto2,ConFoto2,Estado,Tecnico
49,49,17,A,1,NA,NA,0,1985,M,9,1998,,4-3,2002,134,1,1,2,85,85,1,1,1,1,2,4,07/30/02 00:00:00,12/30/99 12:17:00,1,2,1,1,11,3,NA,NA,0,4,,4,,360,0,1,0,2,1,1,ENCONTRADO EL REJON POR LAS REFERENCIAS Y FOTO DEL IFN2. EN LOS  ALREDEDORES (FUERA DE 25  MT) SE VE ALGUN PINO PINASTER. FCC    ARBOREA COMPROBADA. LA MASA ES LATIZAL ALTO. PIES 2 Y 3 MEDIDOS A 1.40 MT POR ENSANCHE DE BIFURCACION. PINO A 6.80 MT Y 43 GRADOS   CON DIAMETROS 125-123 NO ENTRA POR POCO. PIES 45 Y 57 RUMBO COMPROBADO. PINO A 394 GRADOS Y 7.10 MT CON DIAMETROS 123-117 NO ENTRA.  NO HAY MATORRAL DENDROMETRIA COMPROBADA.,3,26,07/30/02 00:00:00,12/30/99 09:45:17,07/30/02 00:00:00,12/30/99 12:22:23,157,166,115,240,10,352759,40,1,352759,39,2,D,5
49,49,18,A,4,NA,NA,0,1998,,3-3,1985,M,3,2002,62,1,1,1,100,60,1,1,3,2,2,4,07/04/02 00:00:00,12/30/99 16:20:00,1,2,1,1,6,2,NA,NA,0,0,,0,,275,0,6.5,0,2,3,2,NO HE ENCONTRADO EL REJON POR FALTA DE REFERENCIAS CLARAS DEL IFN2. HAY ARBOLES QUEMADOS EN  PIE(DE UN INCENDIO HACE MUCHOS AÑOS) Y PODRIDOS; NO LOS MEDI POR NO TENER NINGUN TIPO DE APROVECHAMIENTO MADERERO. LA MASA ES LATIZAL BAJO (CASI MONTE  BRAVO). CERCA DE LA PARCELA HAY UNA REPOBLACION DE PINO SILVESTRE EN ESTADO LATIZAL. FCC ARBOREA COMPROBADA.,3,26,07/04/02 00:00:00,12/30/99 15:30:13,07/04/02 00:00:00,12/30/99 16:30:26,60,166,50,265,10,352735,28,13,352735,27,14,D,5
49,49,19,A,3C,NA,NA,0,1985,M,4,1998,,3-3,2002,62,1,1,2,0,50,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,40,0,9.5,0,2,2,2,"PARCELA ENCONTRADA POR EL PIE MAYOR, FOTO DEL IFN2 Y CROQUIS. HA SIDO PRECISO PODAR RAMAS Y LIMPIAR EL BREZO PARA FACILITAR LA     MEDICION. PARCELA PINCHADA EN EL BORDE DE UNA  PISTA. PLANTACION   DE PINO SILVESTRE SOBRE TERRAZAS DE UNOS 30 AÑOS DE EDAD Y  ESTADO LATIZAL ALTO, CON MARCO DE PLANTACION 2.5 MT X 2.00 MT. HAY GRANDES CRECIMIENTOS, ESPECIALMENTE EN LOS PIES DEL BORDE DEL CAMINO.
 PIES 1 Y 14 ENTRAN POR PTE. PIE 15 RUMBO COMPROBADO.",3,26,07/31/02 00:00:00,12/30/99 09:30:23,07/31/02 00:00:00,12/30/99 11:30:24,120,166,,,,NA,0,41,NA,0,41,D,5
49,49,19,A,3E,NA,NA,0,1998,,3-3,1985,M,4,2002,62,1,1,1,100,20,1,1,4,2,2,4,07/31/02 00:00:00,12/30/99 12:51:00,1,2,1,1,6,3,NA,NA,0,0,,0,,40,0,7.8,0,2,3,1,"PARCELA DESPLAZADA 12.50 MT Y 240 GRADOS PARA SEPARARLA DE UNA PLANTACION DE PINO SILVESTRE E INCLUIRLA TOTALMENTE EN LA TESELA DE  REBOLLO. PARCELA PINCHADA EN UNA ZONA DE MUCHO BREZO Y REBOLLOS EN ESTADO DE MONTE BRAVO. NO HAY PIES MAYORES. FCC ARBOREA COMPROBADA Y CORRECTA. FUERA DE 25 MT EL MODELO DE COMBUSTIBLE ES 07, PINO SILVESTRE CON MATORRAL DE BREZO. ACCESO DIFICULTADO POR LA CANTIDAD Y ALTURA DEL BREZO.",3,26,07/31/02 00:00:00,12/30/99 12:26:49,07/31/02 00:00:00,12/30/99 13:04:24,38,166,385,240,10,352759,36,5,352759,35,6,D,5
49,49,20,A,1,NA,NA,0,1985,M,5,1998,,3-4,2002,62,1,1,1,95,70,1,1,3,2,1,4,08/07/02 00:00:00,12/30/99 12:01:00,1,2,1,2,6,6,NA,NA,0,0,,0,,80,0,10,0,2,2,2,"ENCONTRADO EL REJON POR LOS PIES MAYORES Y FOTO DEL  IFN2. HA SIDO PRECISO LIMPIAR LA  PARCELA DE BREZO PARA FACILITAR  LA    MEDICION.
10% PARA EL MAJUELO, ARRACLAN Y ACEBO.
HE         CONSIDERADO LA MASA  PURA.
PIE 2 DISTANCIA  COMPROBADA.
PIES 10  Y 12 ESTAN BIFURCADOS A MAS DE 6.00 MT. 

A 309 GRADOS UN  REBOLLO SE  VA DE 25  MT.
PIE 13 TAMBIEN TIENE PERFORADORES EN RAMAS. PIES 10 Y 13 FORMA COMPROBADA. PIE 15  MEDIDO CON CINTA, TAMBIEN TIENE HIEDRA EN RAMAS Y ESTA HUECO. PIE 16 DIAMETROS COMPROBADOS. 
REBOLLO A 16.40 MT Y 389 GRADOS NO  ENTRA  POR  DIAMETRO.
 PIE 17 RUMBO   COMPROBADO; ESTA BIFURCADO POR ENCIMA DE 6.00 MT. ALTURAS COMPROBADAS.

FUERA DE LOS 5.00 MT HAY REGENERACION  DE ACEBO.

SP MATORRAL  4104 CORRESPONDE  A CYTISUS SCOPARIUS. FUERA DE LOS 10.00 MT HAY VACCINIUM MYRTILLUS (ARANDANO).

FUERA DE LOS 25 MT HAY SORBUS AUCUPARIA (SERBAL DE CAZADORES).",3,26,08/07/02 00:00:00,12/30/99 10:13:19,08/07/02 00:00:00,12/30/99 12:10:18,117,166,355,115,10,352759,14,27,352759,13,28,D,5
49,49,21,A,3C,NA,NA,0,1985,M,7,1998,,3-4,2002,62,1,1,2,0,25,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,50,0,6,0,2,2,2,"ENCONTRADO EL REJON POR LAS REFERENCIAS  DEL IFN2. COMO MATORRAL HAY BREZO, CARQUESA Y JAGUARZO BLANCO. EN LOS ALREDEDORES HAY REBOLLO.",3,26,07/08/02 00:00:00,12/30/99 10:03:23,07/08/02 00:00:00,12/30/99 10:32:06,29,166,,,,NA,0,41,NA,0,41,D,5
49,49,21,A,3E,NA,NA,0,1998,,3-4,1985,M,7,2002,62,1,1,2,90,90,1,2,3,2,2,4,07/08/02 00:00:00,12/30/99 19:26:00,1,2,1,1,11,3,NA,NA,0,4,1,5,,240,0,6.5,0,2,2,2,"PARCELA PINCHADA EN EL CRUCE DE COORDENADAS DE LA ORTOFOTO DEL IFN3. PARCELA PODADA RECIENTEMENTE. HAN DESBROZADO EL MATORRAL. PIE 4 ENTRA POR PTE. PIE 9 ENTRA POR PTE. PINO A 10.30 MT AL LATERAL CON PTE DE 4.75 EN E:1\20 Y 66 GRADOS NO ENTRA. PINO LARICIO A 10.10 MT AL LATERAL SIN PTE Y 154 GRADOS CON DIAMETROS 189-186 NO ENTRA. NO HAY MATORRAL EN 10 MT, FUERA HAY ERICA AUSTRALIS, CARQUEIXA Y JAGUARZO BLANCO. LA MASA ES LATIZAL ALTO, CASI FUSTAL. EN LOS ALREDEDORES HAY REBOLLO.",3,26,07/08/02 00:00:00,12/30/99 19:04:50,07/08/02 00:00:00,12/30/99 19:35:10,30,166,135,390,10,352735,22,19,352735,21,20,D,5
49,49,22,A,4,NA,NA,0,1998,,4-3,1985,M,8,2002,134,1,1,2,100,50,1,2,3,1,2,4,07/22/02 00:00:00,12/30/99 16:22:00,1,2,1,1,7,2,NA,NA,0,0,,5,,15,0,3.5,0,3,3,2,NO HE ENCONTRADO EL REJON POR FALTA DE REFERENCIAS CLARAS DEL IFN2. PINO SILVESTRE A 173 GRADOS Y 5.10 MT AL FRENTE CON DIAMETROS 123-121 (PTE DE 3.50 EN E:1\20) NO ENTRA. HA SIDO PRECISO PODAR RAMAS PARA FACILITAR LA MEDICION. EN LOS ALREDEDORES (130-140 MT) HAY CASTAÑO Y REBOLLO. ACCESO DIFICULTADO POR LA CANTIDAD Y ALTURA DEL BREZO.,3,26,07/22/02 00:00:00,12/30/99 14:56:46,07/22/02 00:00:00,12/30/99 16:23:27,87,166,60,305,10,352727,20,21,352727,19,22,D,5
49,49,23,A,1,NA,NA,0,1985,M,8,1998,,4-3,2002,134,1,1,2,90,40,1,1,3,2,2,4,07/08/02 00:00:00,12/30/99 15:19:00,1,2,1,1,7,2,NA,NA,0,0,,0,,50,0,5,0,1,2,1,"ENCONTRADO EL REJON POR LAS REFERENCIAS  DEL IFN2. HE CONSIDERADO LA MASA PURA POR LA ESCASEZ DE REBOLLO. MASA A MEDIO CAMINO ENTRE LATIZAL Y MONTE BRAVO. REBOLLO A 73 G NO ENTRA POR DISTANCIA. PIE 1 MEDIDO CON CINTA. SP MATORRAL 0117 CORRESPONDE A HALIMIUM ATRIPLICIFOLIUM. FUERA DE LOS 10 MT HAY CYTISUS SCOPARIUS , C. MULTIFLORUS Y ZARZA. FUE PRECISO PODAR ALGUNA RAMA PARA FACILITAR LA MEDICION.",3,26,07/08/02 00:00:00,12/30/99 14:26:49,07/08/02 00:00:00,12/30/99 15:34:14,67,166,30,160,10,352735,20,21,352735,19,22,D,5
49,49,24,A,1,NA,NA,0,1998,,3-3,1985,M,3,2002,181,1,2,2,60,10,1,1,4,2,2,4,08/06/02 00:00:00,12/30/99 15:17:00,1,2,1,1,5,0,NA,NA,0,0,,5,,20,0,9,0,1,2,1,"NO ENCONTRADO EL REJON PORQUE NO HABIA PIES MAYORES EN LA PARCELA DEL IFN2 Y PASO UN INCENDIO HACE 5 O 6 AÑOS, AHORA HAY UNA REPOBLACION NUEVA DE PINO SILVESTRE DE 4 AÑOS. NO HAY PIES MAYORES. HICIERON PASE DE CUCHILLA DE BULLDOZER POR LAS TERRAZAS ANTERIORES, QUITANDO EL MATORRAL PARA  PODER PLANTAR.
FCC ARBOREA COMPROBADA. MARCA DE PINTURA EN UNA PIEDRA A 20.90 MT Y 12 GRADOS.",3,26,08/06/02 00:00:00,12/30/99 14:43:56,08/06/02 00:00:00,12/30/99 15:22:31,39,166,210,315,10,352759,18,23,352759,17,24,D,5
49,49,25,A,4,NA,NA,0,1998,,3-3,1985,M,3,2002,62,1,1,1,100,60,1,1,3,2,2,4,08/06/02 00:00:00,12/30/99 12:31:00,1,2,1,2,6,5,NA,NA,0,0,,0,,290,0,7,0,2,2,2,"NO ENCONTRADO EL REJON POR FALTA DE REFERENCIAS CLARAS DEL IFN2.
SE OBSERVA ALGUN REBOLLO MUERTO EN PIE, NO LOS MIDO POR NO TENER NINGUN TIPO DE APROVECHAMIENTO FORESTAL YA QUE ESTAN PODRIDOS.
REBOLLO A 261 GRADOS Y 8.30 MT CON  DIAMETROS 118-123 NO ENTRA.
PIE 8 ENTRA POR PTE.
PIE 11 TAMBIEN ES DE CEPA 
PIE 14 ENTRA POR PTE Y MEDIDO UN POCO POR ENCIMA DE 1.30 MT.
SP  MATORRAL 0117 CORRESPONDE A  HALIMIIUM  ATRIPLICIFOLIUM.
POR LA PARCELA PASO UN  INCENDIO HACE MUCHISIMO TIEMPO, ALGUN PIE TIENE DAÑOS DEL MISMO.
EN LOS ALREDEDORES (FUERA DE LOS 25  MT) SE OBSERVAN CORTAS MUY VIEJAS.",3,26,08/06/02 00:00:00,12/30/99 10:50:36,08/06/02 00:00:00,12/30/99 12:39:46,109,166,340,85,10,352759,20,21,352759,19,22,D,5
49,49,26,A,4C,NA,NA,0,1998,,3-3,1985,M,4,2002,62,1,1,2,100,70,1,1,3,2,2,4,07/04/02 00:00:00,12/30/99 13:16:00,1,2,1,1,7,3,NA,NA,0,0,,5,,275,0,7.5,0,3,3,3,"NO HE ENCONTRADO EL REJON POR FALTA DE REFERENCIAS CLARAS DEL IFN2. HA SIDO PRECISO PODAR RAMAS PARA FACILITAR LA MEDICION.
PINO SILVESTRE A 201 GRADOS Y 10.30 MT NO ENTRA POR DIAMETRO.
PINO SILVESTRE A 307 GRADOS Y 5.70 MT CON DIAMETROS 122-126 NO ENTRA.
LOS PIES MENORES CORRESPONDEN A UN MISMO ARBOL. ACCESO Y LEVANTAMIENTO DIFICIL POR LA CANTIDAD Y ALTURA DEL MATORRAL.
EN LOS ALREDEDORES, FUERA DE 25  MT HAY ABEDUL, SERBAL DE CAZADORES, REBOLLO Y ARRACLAN.",3,26,07/04/02 00:00:00,12/30/99 11:10:02,07/04/02 00:00:00,12/30/99 13:27:41,137,166,270,190,10,352735,30,11,352735,29,12,D,5
